carrier,delayed30,delay,destination
Republic,FALSE,-23,BOS
Delta,FALSE,-5,ORD
Delta,FALSE,-28,ATL
Delta,FALSE,-14,DTW
Republic,FALSE,-47,IND
Republic,FALSE,-47,MCI
Republic,FALSE,-38,MEM
Republic,FALSE,-40,RDU
Republic,FALSE,-52,SDF
Republic,FALSE,-22,CMH
Delta,FALSE,-16,MCO
Republic,FALSE,-38,LIT
Republic,FALSE,-21,OMA
Republic,FALSE,-48,TUL
Delta,FALSE,-38,ATL
Delta,TRUE,192,FLL
Republic,FALSE,-29,PIT
Delta,TRUE,282,MIA
Delta,FALSE,-13,ATL
Delta,FALSE,10,MSP
Delta,FALSE,-4,DTW
Delta,FALSE,-25,MCO
Republic,FALSE,-12,BOS
Delta,FALSE,-32,FLL
Delta,FALSE,-21,PBI
Delta,FALSE,-12,MIA
Delta,FALSE,-8,ORD
Republic,FALSE,-27,DCA
Delta,FALSE,-34,TPA
Delta,FALSE,-4,DEN
Delta,FALSE,-37,DFW
Delta,FALSE,-26,ATL
Republic,FALSE,-25,JAX
Delta,FALSE,14,MSP
Delta,FALSE,-58,IAH
Republic,FALSE,-19,CMH
Republic,FALSE,-31,MCI
Republic,FALSE,-31,SDF
Republic,FALSE,-13,IAH
Delta,FALSE,-12,DTW
Republic,FALSE,-45,CLE
Republic,FALSE,-34,BNA
Republic,FALSE,-17,MSN
Republic,FALSE,-15,IND
Republic,FALSE,-24,EYW
Republic,FALSE,-37,CLT
Delta,FALSE,-22,MSY
Republic,FALSE,-17,ROA
Republic,FALSE,-32,SDF
Republic,FALSE,-29,AVL
Delta,FALSE,29,MCO
Delta,FALSE,-3,ATL
Republic,FALSE,-42,DCA
Republic,FALSE,-31,PIT
Delta,FALSE,-18,FLL
Delta,FALSE,-17,MCO
Delta,FALSE,-14,MIA
Republic,FALSE,-34,DTW
Delta,FALSE,-26,ATL
Republic,FALSE,-33,DAY
Delta,TRUE,32,SRQ
Delta,FALSE,28,RSW
Republic,FALSE,-27,RIC
Delta,FALSE,-24,TPA
Republic,FALSE,-45,BNA
Delta,FALSE,-12,ORD
Republic,FALSE,-32,BOS
Republic,FALSE,-41,MEM
Republic,FALSE,-18,MSP
Delta,FALSE,29,PBI
Republic,FALSE,-40,CVG
Delta,TRUE,66,MSP
Republic,FALSE,24,XNA
Republic,FALSE,-14,CHS
Delta,FALSE,-21,DTW
Republic,FALSE,-20,STL
Delta,FALSE,25,ATL
Republic,FALSE,-29,IAH
Republic,FALSE,-29,CMH
Republic,FALSE,1,ATL
Republic,FALSE,-29,DCA
Republic,FALSE,-32,IND
Delta,FALSE,-7,MSP
Delta,FALSE,-23,ATL
Republic,FALSE,-19,PIT
Republic,TRUE,52,MCI
Delta,TRUE,31,MCO
Republic,TRUE,62,CLE
Delta,FALSE,-28,MSY
Republic,FALSE,-2,CHO
Delta,FALSE,-5,PBI
Delta,FALSE,-1,MIA
Republic,FALSE,-19,DTW
Delta,FALSE,-23,IAH
Republic,FALSE,-51,RIC
Republic,FALSE,-11,ILM
Delta,FALSE,23,DEN
Delta,FALSE,-1,ATL
Republic,FALSE,-37,GSO
Republic,FALSE,-28,CMH
Republic,TRUE,70,JAX
Republic,FALSE,-26,PIT
Delta,TRUE,68,TPA
Republic,FALSE,-10,IND
Delta,FALSE,7,ORD
Republic,FALSE,-31,ATL
Republic,FALSE,-8,MCI
Delta,TRUE,32,DFW
Republic,FALSE,-19,IND
Republic,FALSE,-32,MCI
Republic,FALSE,-17,DCA
Republic,FALSE,-16,CLT
Republic,FALSE,-44,SDF
Delta,TRUE,35,DTW
Republic,FALSE,-31,CMH
Republic,FALSE,-22,OKC
Delta,TRUE,46,MCO
Delta,FALSE,9,ATL
Republic,FALSE,-50,IND
Delta,TRUE,163,FLL
Delta,FALSE,8,MSP
Republic,FALSE,1,TUL
Republic,FALSE,4,OMA
Republic,FALSE,-7,BOS
Republic,FALSE,-15,LIT
Delta,TRUE,40,ATL
Republic,FALSE,-35,PIT
Republic,FALSE,-25,CMH
Republic,FALSE,13,XNA
Republic,FALSE,-27,ORF
Republic,FALSE,-31,CLE
Republic,FALSE,-44,CVG
Delta,FALSE,-13,TPA
Delta,TRUE,81,FLL
Delta,FALSE,19,ATL
Delta,TRUE,56,PBI
Republic,FALSE,-26,ATL
Delta,FALSE,23,MCO
Delta,FALSE,22,RSW
Republic,FALSE,-34,DTW
Republic,FALSE,-33,ILM
Republic,FALSE,-46,MEM
Republic,FALSE,-43,RDU
Republic,FALSE,-16,GSO
Republic,FALSE,-40,RIC
Delta,FALSE,-12,ATL
Delta,FALSE,-17,MSP
Delta,FALSE,20,DTW
Delta,FALSE,-17,MIA
Delta,FALSE,-19,FLL
Delta,FALSE,-4,PBI
Delta,FALSE,-2,ORD
Republic,FALSE,-10,DCA
Delta,FALSE,-26,TPA
Delta,FALSE,-35,DEN
Delta,FALSE,-18,MSP
Delta,FALSE,-19,ATL
Delta,FALSE,-19,DFW
Republic,FALSE,-12,JAX
Republic,FALSE,-21,CMH
Republic,FALSE,-29,ILM
Delta,FALSE,-29,IAH
Republic,TRUE,99,BOS
Republic,FALSE,0,IAH
Republic,FALSE,-34,MCI
Delta,FALSE,-12,DTW
Republic,FALSE,-42,CLE
Republic,FALSE,-23,IND
Republic,FALSE,-24,BNA
Republic,FALSE,-29,MSN
Republic,FALSE,15,SDF
Republic,FALSE,-35,CLT
Republic,FALSE,-31,EYW
Delta,FALSE,-14,MSY
Delta,FALSE,13,MCO
Republic,FALSE,-28,SDF
Republic,FALSE,-42,ROA
Republic,FALSE,-28,AVL
Delta,FALSE,-2,ATL
Delta,FALSE,-13,RSW
Delta,FALSE,-3,FLL
Republic,FALSE,-21,DCA
Republic,FALSE,-36,PIT
Delta,FALSE,-21,MCO
Delta,FALSE,7,SRQ
Republic,FALSE,-31,XNA
Delta,FALSE,8,PBI
Delta,FALSE,0,MIA
Delta,FALSE,-30,ATL
Republic,FALSE,-34,DTW
Republic,FALSE,-35,DAY
Delta,FALSE,-32,TPA
Republic,FALSE,-34,MEM
Delta,FALSE,-8,ORD
Republic,FALSE,-7,RIC
Republic,FALSE,-4,BOS
Republic,FALSE,11,BNA
Delta,FALSE,-21,ATL
Republic,FALSE,-19,CVG
Republic,FALSE,-18,STL
Delta,FALSE,-7,DTW
Republic,FALSE,-31,IAH
Republic,FALSE,-32,CMH
Republic,FALSE,-27,ATL
Republic,FALSE,-43,CLE
Republic,FALSE,-36,MCI
Republic,FALSE,-16,DCA
Republic,FALSE,-16,IND
Delta,FALSE,8,MCO
Delta,FALSE,-6,ATL
Republic,FALSE,-27,PIT
Delta,FALSE,-20,MIA
Delta,FALSE,12,MSY
Republic,FALSE,-29,CHO
Delta,FALSE,-13,PBI
Republic,TRUE,218,MSP
Delta,FALSE,-30,IAH
Republic,FALSE,0,JAX
Delta,TRUE,125,MSP
Delta,FALSE,-39,DEN
Delta,FALSE,4,FLL
Republic,FALSE,-33,RIC
Republic,FALSE,-26,ILM
Republic,FALSE,5,DTW
Republic,FALSE,-21,GSO
Republic,FALSE,-25,CMH
Republic,FALSE,24,ORD
Delta,FALSE,17,ORD
Delta,FALSE,-16,DTW
Republic,FALSE,-9,IND
Delta,FALSE,-7,DFW
Republic,FALSE,-26,MCI
Republic,FALSE,-10,PIT
Delta,TRUE,86,ATL
Republic,FALSE,1,ATL
Republic,FALSE,-32,IND
Republic,FALSE,-9,CLT
Republic,FALSE,-12,DCA
Republic,FALSE,0,MCI
Delta,FALSE,-1,ATL
Republic,FALSE,-32,SDF
Republic,FALSE,-36,CMH
Republic,FALSE,-28,OMA
Republic,FALSE,-48,IND
Republic,FALSE,26,OKC
Republic,FALSE,-35,BOS
Republic,FALSE,-6,TUL
Republic,FALSE,8,LIT
Delta,FALSE,1,ATL
Delta,FALSE,3,FLL
Republic,FALSE,-39,CMH
Republic,FALSE,-17,XNA
Republic,FALSE,-30,PIT
Delta,FALSE,11,PBI
Republic,FALSE,-38,ORF
Republic,FALSE,-51,CLE
Delta,FALSE,-18,MIA
Delta,FALSE,-6,RSW
Republic,FALSE,-30,ATL
Republic,FALSE,-25,ILM
Republic,FALSE,-43,GSO
Republic,FALSE,-32,DTW
Republic,FALSE,-32,MEM
Delta,TRUE,54,ATL
Republic,FALSE,-37,RIC
Republic,TRUE,50,CVG
Republic,FALSE,-29,RDU
Delta,TRUE,221,MCO
Delta,TRUE,97,TPA
Delta,TRUE,263,MSP
Delta,FALSE,8,DTW
Delta,FALSE,12,MSP
Delta,FALSE,-8,MCO
Delta,FALSE,-23,PBI
Delta,FALSE,-18,MIA
Delta,FALSE,-25,FLL
Delta,FALSE,-2,ORD
Republic,FALSE,-28,DCA
Republic,FALSE,3,BOS
Delta,FALSE,-26,TPA
Delta,FALSE,-23,DEN
Delta,FALSE,-31,ATL
Delta,FALSE,-19,DFW
Republic,FALSE,-27,JAX
Republic,FALSE,-29,CMH
Delta,FALSE,-45,IAH
Republic,FALSE,-25,ILM
Republic,FALSE,-34,MCI
Republic,FALSE,-37,SDF
Republic,FALSE,-12,MSP
Republic,FALSE,-43,CLE
Delta,FALSE,-17,DTW
Republic,FALSE,-32,IND
Delta,FALSE,-20,MCO
Republic,FALSE,-30,MSN
Republic,FALSE,-9,BNA
Delta,FALSE,-24,MSY
Republic,FALSE,-29,CLT
Republic,FALSE,11,EYW
Republic,FALSE,-32,AVL
Republic,FALSE,-40,CVG
Delta,TRUE,259,ATL
Delta,FALSE,9,ATL
Republic,FALSE,-45,DCA
Delta,TRUE,42,FLL
Republic,FALSE,-36,PIT
Delta,FALSE,-22,MSP
Republic,FALSE,-40,ROA
Delta,FALSE,16,PBI
Delta,TRUE,39,SRQ
Republic,FALSE,-24,RIC
Republic,FALSE,-50,XNA
Republic,FALSE,-35,BNA
Republic,FALSE,-24,BOS
Delta,TRUE,45,MIA
Republic,FALSE,-38,CMH
Delta,TRUE,50,ATL
Delta,FALSE,22,ORD
Republic,FALSE,-37,RIC
Delta,FALSE,1,DTW
Republic,FALSE,-30,OKC
Republic,FALSE,-23,TUL
Republic,FALSE,25,LIT
Delta,TRUE,181,MCO
Republic,FALSE,-28,SDF
Republic,FALSE,0,IND
Republic,FALSE,-20,DCA
Delta,TRUE,206,RSW
Republic,FALSE,-29,MCI
Delta,FALSE,-13,MCO
Delta,FALSE,-18,MSP
Republic,FALSE,-29,DTW
Republic,FALSE,-32,PIT
Delta,TRUE,106,ATL
Republic,FALSE,-3,MEM
Republic,FALSE,-19,ATL
Delta,FALSE,17,ATL
Delta,FALSE,-16,MSY
Republic,FALSE,-35,CHO
Delta,TRUE,57,MIA
Delta,FALSE,-20,FLL
Delta,FALSE,-8,PBI
Delta,FALSE,-24,IAH
Delta,FALSE,-31,DEN
Republic,FALSE,10,JAX
Republic,FALSE,-15,ILM
Republic,FALSE,-33,GSO
Republic,FALSE,-19,PIT
Republic,FALSE,-24,IND
Republic,FALSE,-11,CMH
Republic,FALSE,-13,MCI
Delta,FALSE,-22,ORD
Delta,FALSE,-18,DTW
Delta,FALSE,-26,DFW
Republic,FALSE,-31,IND
Republic,FALSE,-36,RDU
Delta,TRUE,318,TPA
Republic,FALSE,3,DCA
Republic,FALSE,-5,CLT
Republic,FALSE,-30,ORF
Republic,FALSE,-36,OMA
Republic,FALSE,-24,ORD
Delta,TRUE,61,ATL
Republic,FALSE,-28,BOS
Delta,FALSE,3,ATL
Delta,FALSE,12,MSP
Delta,TRUE,34,PBI
Delta,FALSE,5,ATL
Delta,TRUE,267,ATL
Delta,TRUE,68,MIA
Delta,TRUE,227,FLL
Delta,FALSE,4,ATL
Delta,FALSE,26,DTW
Republic,FALSE,-8,BOS
Delta,FALSE,19,MCO
Delta,FALSE,15,MIA
Delta,FALSE,-15,ORD
Delta,FALSE,12,FLL
Republic,FALSE,-2,DCA
Delta,FALSE,3,TPA
Delta,FALSE,-33,DEN
Delta,FALSE,-27,MSP
Delta,FALSE,-33,DFW
Delta,FALSE,-9,ATL
Republic,FALSE,3,JAX
Republic,FALSE,-31,CMH
Delta,FALSE,-32,IAH
Republic,FALSE,-34,MCI
Republic,FALSE,-58,MSP
Republic,FALSE,-11,SDF
Delta,FALSE,-19,DTW
Republic,FALSE,-45,CLE
Republic,FALSE,-24,IND
Republic,TRUE,72,ILM
Republic,FALSE,-25,MSN
Delta,FALSE,7,MCO
Republic,TRUE,45,EYW
Republic,FALSE,-11,BNA
Republic,FALSE,-19,CLT
Delta,FALSE,-22,ATL
Republic,FALSE,-34,CVG
Republic,FALSE,-21,AVL
Delta,TRUE,37,MSY
Republic,FALSE,-45,PIT
Republic,FALSE,-18,ROA
Delta,FALSE,11,FLL
Republic,FALSE,-21,DCA
Delta,FALSE,6,MIA
Delta,FALSE,25,MCO
Delta,TRUE,32,RSW
Delta,TRUE,53,PBI
Delta,FALSE,-21,MSP
Republic,FALSE,19,RIC
Delta,FALSE,-6,TPA
Republic,FALSE,-42,BNA
Republic,FALSE,-33,XNA
Republic,FALSE,-24,BOS
Delta,FALSE,-16,ORD
Delta,FALSE,30,ATL
Republic,FALSE,-44,CMH
Delta,FALSE,-15,ATL
Republic,FALSE,-31,RIC
Delta,FALSE,-20,DTW
Republic,FALSE,-21,OKC
Republic,FALSE,-19,TUL
Republic,FALSE,-29,IND
Republic,FALSE,-10,LIT
Republic,FALSE,-20,SDF
Republic,FALSE,-19,MCI
Delta,FALSE,-31,MSP
Republic,FALSE,-31,DTW
Republic,FALSE,-20,MEM
Republic,FALSE,-24,PIT
Republic,FALSE,9,DCA
Republic,FALSE,-26,ATL
Delta,FALSE,22,ATL
Delta,FALSE,-15,MSY
Delta,FALSE,-3,MIA
Republic,FALSE,-26,CHO
Delta,FALSE,14,FLL
Republic,FALSE,23,JAX
Delta,FALSE,-24,IAH
Delta,FALSE,-39,DEN
Republic,FALSE,-13,ILM
Republic,FALSE,-28,GSO
Delta,TRUE,65,PBI
Delta,FALSE,-34,DFW
Delta,FALSE,19,ATL
Republic,FALSE,-16,IND
Republic,FALSE,-11,PIT
Delta,FALSE,-28,ORD
Republic,FALSE,-20,MCI
Republic,FALSE,-4,CMH
Delta,FALSE,-12,DTW
Republic,FALSE,-31,IND
Republic,FALSE,-28,RDU
Republic,FALSE,-17,DCA
Republic,FALSE,-5,CLT
Delta,FALSE,-8,ATL
Republic,FALSE,-17,ORF
Delta,FALSE,6,MCO
Republic,FALSE,-43,ORD
Republic,FALSE,-57,OMA
Delta,FALSE,14,MSP
Republic,FALSE,-22,BOS
Delta,FALSE,5,ATL
Delta,FALSE,6,FLL
Delta,FALSE,-11,MIA
Delta,TRUE,350,MCO
Delta,TRUE,65,PBI
Delta,FALSE,3,RSW
Delta,FALSE,2,TPA
Delta,FALSE,19,ATL
Delta,FALSE,-39,MSP
Delta,FALSE,-21,DTW
Delta,FALSE,-15,ATL
Republic,FALSE,-16,BOS
Delta,FALSE,-19,MIA
Delta,FALSE,-15,PBI
Delta,FALSE,2,MCO
Delta,FALSE,-15,FLL
Republic,FALSE,-22,DCA
Delta,FALSE,-28,DEN
Delta,FALSE,-15,TPA
Delta,FALSE,-35,MSP
Delta,FALSE,-27,ATL
Delta,FALSE,-44,DFW
Republic,FALSE,-13,JAX
Republic,FALSE,-31,CMH
Delta,FALSE,-42,IAH
Republic,FALSE,-26,ILM
Republic,FALSE,-46,MCI
Republic,FALSE,-59,MSP
Republic,FALSE,-39,SDF
Delta,FALSE,-26,DTW
Republic,FALSE,-53,CLE
Delta,FALSE,-15,MCO
Republic,FALSE,-27,MSN
Republic,FALSE,10,EYW
Republic,FALSE,-20,BNA
Delta,FALSE,-37,MSY
Republic,FALSE,-24,CLT
Delta,TRUE,147,ORD
Delta,FALSE,-43,ATL
Republic,FALSE,-51,AVL
Republic,TRUE,37,IND
Delta,FALSE,-31,RSW
Republic,FALSE,-51,DCA
Republic,FALSE,-26,ROA
Delta,FALSE,-24,SRQ
Delta,FALSE,-36,FLL
Delta,FALSE,-19,MCO
Republic,FALSE,1,CVG
Delta,FALSE,-45,ATL
Delta,FALSE,11,PBI
Delta,FALSE,2,MSP
Delta,FALSE,6,MIA
Republic,FALSE,-7,PIT
Republic,FALSE,-15,RIC
Republic,FALSE,-45,XNA
Republic,FALSE,-38,BNA
Republic,FALSE,-17,BOS
Delta,FALSE,-4,TPA
Delta,FALSE,5,ORD
Republic,FALSE,-31,CMH
Delta,FALSE,-4,ATL
Republic,FALSE,-38,ORD
Delta,FALSE,-18,DTW
Republic,FALSE,-24,RIC
Republic,FALSE,-28,IND
Republic,FALSE,-16,LIT
Republic,FALSE,-35,SDF
Republic,TRUE,32,TUL
Republic,FALSE,4,MCI
Republic,FALSE,-30,DCA
Delta,FALSE,-7,MCO
Republic,FALSE,-2,DTW
Delta,FALSE,-17,MSP
Republic,FALSE,-24,MEM
Republic,FALSE,-30,PIT
Delta,FALSE,-31,ATL
Republic,FALSE,-35,ATL
Delta,FALSE,-39,TPA
Delta,FALSE,-41,MSY
Republic,FALSE,-17,OKC
Delta,FALSE,-24,MIA
Republic,FALSE,-29,CHO
Delta,FALSE,-23,PBI
Delta,FALSE,-2,FLL
Republic,FALSE,-18,JAX
Delta,FALSE,-45,DEN
Delta,FALSE,-37,IAH
Delta,FALSE,-26,ATL
Republic,FALSE,-11,ILM
Republic,FALSE,-24,PIT
Republic,FALSE,-17,CMH
Republic,FALSE,-13,IND
Republic,FALSE,-26,MCI
Republic,FALSE,-49,IND
Republic,FALSE,-45,RDU
Delta,FALSE,-6,ORD
Republic,FALSE,16,GSO
Republic,FALSE,-27,CLT
Republic,FALSE,-34,DCA
Republic,FALSE,-35,ORF
Delta,FALSE,4,DTW
Delta,FALSE,-27,ATL
Delta,FALSE,-26,MCO
Republic,FALSE,-15,ORD
Republic,FALSE,-33,BOS
Delta,FALSE,19,MSP
Delta,FALSE,-21,ATL
Delta,FALSE,-32,FLL
Delta,FALSE,-5,PBI
Republic,FALSE,30,OMA
Delta,TRUE,124,DFW
Delta,FALSE,-33,TPA
Delta,FALSE,-29,MIA
Delta,FALSE,-41,RSW
Delta,FALSE,-30,ATL
Delta,FALSE,-23,ATL
Delta,FALSE,27,DTW
Delta,FALSE,20,MSP
Delta,FALSE,-23,PBI
Delta,FALSE,-1,MCO
Delta,FALSE,-2,FLL
Delta,FALSE,-21,MIA
Delta,FALSE,-7,IAH
Republic,FALSE,-9,DCA
Delta,FALSE,-22,DEN
Delta,FALSE,-23,MSP
Delta,FALSE,-14,ATL
Republic,FALSE,-22,ILM
Republic,FALSE,-20,BOS
Delta,FALSE,-19,ORD
Republic,FALSE,-38,CHS
Republic,FALSE,-16,ATL
Republic,FALSE,-22,GSO
Republic,FALSE,-40,CLT
Republic,FALSE,-29,PIT
Delta,FALSE,-14,DTW
Republic,FALSE,-32,CMH
Delta,FALSE,-34,ATL
Republic,FALSE,-26,BNA
Delta,FALSE,-24,MCO
Republic,FALSE,-28,MCI
Republic,FALSE,-6,CMH
Delta,FALSE,-11,MSY
Delta,TRUE,131,TPA
Republic,FALSE,-22,EYW
Republic,FALSE,-11,IND
Republic,FALSE,-25,MSN
Republic,FALSE,-60,MSP
Republic,FALSE,-34,AVL
Republic,FALSE,-32,IND
Republic,FALSE,-31,CVG
Delta,FALSE,-33,RSW
Delta,FALSE,-43,MSP
Republic,FALSE,-20,PWM
Republic,FALSE,-52,PIT
Republic,FALSE,-44,DCA
Delta,FALSE,-37,FLL
Delta,TRUE,159,DFW
Delta,FALSE,-37,MIA
Republic,FALSE,-34,ROA
Delta,FALSE,-9,MCO
Republic,FALSE,-10,IAH
Delta,FALSE,-19,ATL
Republic,FALSE,-28,DAY
Republic,FALSE,-19,RIC
Republic,FALSE,-41,BNA
Delta,FALSE,-15,SRQ
Republic,FALSE,-25,BOS
Delta,FALSE,14,PBI
Delta,FALSE,-19,TPA
Republic,FALSE,-7,DCA
Republic,FALSE,-2,SDF
Republic,FALSE,-39,DCA
Republic,FALSE,-31,ORD
Republic,FALSE,-40,MCI
Delta,FALSE,-9,ORD
Delta,FALSE,-19,DTW
Republic,FALSE,-25,JAX
Republic,FALSE,-1,OKC
Republic,FALSE,-30,CLE
Republic,FALSE,-36,RIC
Republic,FALSE,-21,MCI
Republic,FALSE,-17,SDF
Delta,FALSE,-18,MCO
Delta,FALSE,21,ATL
Republic,FALSE,-15,IND
Republic,FALSE,-42,CMH
Republic,FALSE,-30,CLT
Delta,FALSE,-26,MSP
Republic,FALSE,-49,ORF
Delta,FALSE,-26,IAH
Delta,FALSE,5,PBI
Delta,FALSE,17,ATL
Republic,FALSE,-25,CHO
Delta,FALSE,-18,TPA
Republic,FALSE,-30,IAD
Delta,FALSE,-34,DFW
Delta,FALSE,-17,FLL
Republic,FALSE,-37,ILM
Delta,FALSE,-26,RSW
Republic,FALSE,-29,IND
Republic,FALSE,-16,PIT
Delta,FALSE,-2,ATL
Delta,TRUE,44,MIA
Republic,FALSE,-18,LIT
Republic,FALSE,-20,DTW
Republic,FALSE,-28,CMH
Delta,FALSE,-36,ORD
Republic,FALSE,-27,BOS
Delta,FALSE,-18,DTW
Delta,FALSE,-22,ATL
Republic,FALSE,-29,XNA
Republic,FALSE,-43,MEM
Republic,FALSE,-43,RDU
Republic,FALSE,-31,DCA
Delta,FALSE,-11,MCO
Republic,FALSE,-17,ORD
Delta,FALSE,-23,ATL
Delta,FALSE,-34,TPA
Delta,FALSE,-37,MIA
Republic,FALSE,-48,ORD
Delta,FALSE,-22,ATL
Delta,FALSE,-8,DTW
Delta,FALSE,-16,MCO
Delta,FALSE,-17,ATL
Delta,FALSE,-14,PBI
Delta,FALSE,-13,MIA
Delta,FALSE,-36,TPA
Delta,FALSE,-44,DEN
Delta,FALSE,17,FLL
Delta,FALSE,-20,MSP
Republic,FALSE,-33,MSP
Republic,FALSE,-34,CVG
Republic,FALSE,-16,JAX
Delta,FALSE,-25,ORD
Republic,FALSE,-30,ILM
Republic,FALSE,-15,ATL
Delta,FALSE,-33,ATL
Republic,FALSE,-14,CMH
Republic,FALSE,4,IAH
Delta,FALSE,-39,DFW
Republic,FALSE,-19,DCA
Delta,FALSE,-25,DTW
Delta,FALSE,-18,MCO
Republic,FALSE,-15,IND
Republic,FALSE,-9,EYW
Republic,FALSE,-25,BOS
Republic,FALSE,-10,PIT
Republic,FALSE,-36,DCA
Republic,FALSE,-6,CMH
Republic,FALSE,-13,BNA
Republic,FALSE,-20,CLT
Republic,FALSE,-40,SDF
Republic,FALSE,-33,CVG
Republic,FALSE,-34,AVL
Delta,FALSE,-25,TPA
Republic,FALSE,-57,DCA
Delta,FALSE,-30,RSW
Delta,FALSE,-30,IAH
Delta,FALSE,-41,MSP
Delta,FALSE,-21,MCO
Delta,FALSE,-13,MIA
Republic,FALSE,-26,XNA
Republic,FALSE,-33,ROA
Republic,FALSE,-20,MCI
Republic,FALSE,-25,DCA
Delta,FALSE,-8,MSY
Delta,FALSE,12,PBI
Republic,FALSE,-53,DTW
Republic,FALSE,-28,IAD
Delta,FALSE,-32,ORD
Republic,FALSE,-39,PIT
Republic,FALSE,-23,PWM
Republic,FALSE,-25,BOS
Delta,FALSE,-3,SRQ
Republic,FALSE,-25,DAY
Republic,FALSE,-2,BNA
Republic,FALSE,-44,MEM
Republic,FALSE,-5,SDF
Delta,TRUE,61,FLL
Delta,FALSE,-22,ATL
Republic,FALSE,-30,ORF
Delta,FALSE,-17,DTW
Republic,FALSE,-5,BOS
Republic,FALSE,7,ORD
Republic,FALSE,11,MSP
Republic,FALSE,26,IND
Republic,TRUE,37,CMH
Republic,FALSE,-14,IND
Republic,FALSE,-1,DCA
Republic,FALSE,18,IAH
Delta,TRUE,97,ATL
Delta,FALSE,-18,ATL
Delta,FALSE,-17,DFW
Republic,FALSE,-20,DCA
Republic,FALSE,0,MCI
Republic,FALSE,-10,BOS
Delta,FALSE,-13,ORD
Delta,FALSE,-8,MCO
Republic,TRUE,35,CLT
Republic,FALSE,26,CLE
Republic,FALSE,1,CHS
Republic,FALSE,27,ATL
Delta,FALSE,3,ATL
Republic,FALSE,-9,STL
Republic,FALSE,-1,PWM
Delta,FALSE,-29,IAH
Republic,FALSE,-40,ORD
Republic,FALSE,-13,BOS
Republic,TRUE,57,PIT
Delta,FALSE,-20,DTW
Republic,FALSE,-19,STL
Republic,FALSE,30,CMH
Republic,FALSE,-1,MKE
Delta,FALSE,-37,DFW
Republic,FALSE,-40,PIT
Delta,FALSE,-10,TPA
Republic,FALSE,3,DCA
Republic,FALSE,-21,IAD
Delta,FALSE,1,MIA
Delta,FALSE,-8,PBI
Republic,FALSE,-33,OKC
Delta,FALSE,-32,DEN
Republic,FALSE,8,CHO
Delta,FALSE,-10,ATL
Republic,FALSE,-19,DCA
Republic,FALSE,23,BOS
Republic,FALSE,-11,PIT
Republic,FALSE,-37,RIC
Republic,FALSE,-32,ILM
Delta,TRUE,36,FLL
Republic,FALSE,-15,GSO
Republic,FALSE,-2,MCI
Republic,FALSE,-13,SDF
Republic,FALSE,12,DTW
Delta,TRUE,107,MSP
Republic,FALSE,-29,ORD
Delta,FALSE,-19,DTW
Delta,FALSE,24,ORD
Republic,FALSE,-2,BNA
Republic,FALSE,-40,IND
Republic,FALSE,-37,SDF
Republic,FALSE,26,BOS
Republic,FALSE,-13,DCA
Republic,FALSE,-16,ATL
Republic,FALSE,-40,MCI
Republic,FALSE,-21,PIT
Republic,FALSE,-20,OKC
Republic,FALSE,-19,BOS
