"","carrier","delayed30","delay","destination"
"253","American",FALSE,-2,"FLL"
"254","American",FALSE,-11,"SFO"
"255","JetBlue",TRUE,59,"FLL"
"256","JetBlue",FALSE,8,"SJU"
"257","JetBlue",FALSE,25,"RSW"
"258","JetBlue",TRUE,45,"ORD"
"259","American",FALSE,20,"DFW"
"260","JetBlue",FALSE,20,"SYR"
"261","American",TRUE,368,"SFO"
"262","American",FALSE,15,"SJU"
"263","JetBlue",FALSE,14,"MCO"
"264","JetBlue",FALSE,-25,"LAX"
"265","JetBlue",FALSE,-3,"RSW"
"266","American",FALSE,-10,"BOS"
"267","JetBlue",FALSE,-2,"CLT"
"268","American",TRUE,36,"LAS"
"269","JetBlue",FALSE,25,"PBI"
"270","JetBlue",FALSE,22,"SAN"
"271","American",FALSE,16,"EGE"
"272","JetBlue",FALSE,-18,"TPA"
"273","American",TRUE,38,"AUS"
"274","American",FALSE,28,"LAX"
"275","American",FALSE,6,"ORD"
"276","American",FALSE,-18,"MIA"
"277","JetBlue",FALSE,-2,"BTV"
"278","American",FALSE,4,"SAN"
"279","JetBlue",FALSE,-5,"MCO"
"280","JetBlue",FALSE,-13,"BOS"
"281","JetBlue",FALSE,-5,"IAD"
"282","American",TRUE,166,"MCO"
"283","JetBlue",TRUE,38,"FLL"
"284","American",FALSE,-9,"SFO"
"285","JetBlue",FALSE,-13,"FLL"
"286","JetBlue",FALSE,-10,"RDU"
"287","JetBlue",TRUE,35,"PHX"
"288","JetBlue",FALSE,-41,"LGB"
"289","JetBlue",FALSE,-21,"SJC"
"290","JetBlue",FALSE,-24,"BUR"
"291","American",FALSE,-20,"SEA"
"292","JetBlue",FALSE,-31,"OAK"
"293","American",FALSE,-4,"SJU"
"294","JetBlue",FALSE,-7,"MCO"
"295","JetBlue",FALSE,-1,"SJU"
"296","JetBlue",FALSE,28,"BUF"
"297","American",FALSE,-9,"LAX"
"298","JetBlue",FALSE,-14,"SMF"
"299","JetBlue",FALSE,-18,"SLC"
"300","JetBlue",FALSE,-11,"PBI"
"301","American",FALSE,2,"TPA"
"302","JetBlue",TRUE,34,"LAS"
"303","JetBlue",FALSE,-33,"SFO"
"304","American",FALSE,2,"BOS"
"305","JetBlue",FALSE,-36,"PDX"
"306","JetBlue",FALSE,7,"MSY"
"307","JetBlue",FALSE,15,"FLL"
"308","JetBlue",TRUE,32,"AUS"
"309","JetBlue",FALSE,11,"HOU"
"310","JetBlue",FALSE,4,"JAX"
"311","JetBlue",FALSE,-30,"LAX"
"312","JetBlue",FALSE,-9,"DEN"
"313","JetBlue",FALSE,10,"TPA"
"314","JetBlue",FALSE,-17,"LAS"
"315","American",FALSE,-14,"LAX"
"316","JetBlue",FALSE,-16,"SJU"
"317","JetBlue",FALSE,-10,"BUF"
"318","JetBlue",FALSE,-5,"PBI"
"319","JetBlue",FALSE,-4,"RDU"
"320","JetBlue",FALSE,21,"FLL"
"321","JetBlue",FALSE,-15,"SJU"
"322","JetBlue",FALSE,-17,"PWM"
"323","JetBlue",FALSE,-15,"ROC"
"324","JetBlue",FALSE,11,"BUF"
"325","JetBlue",TRUE,101,"MCO"
"326","JetBlue",TRUE,61,"BTV"
"327","JetBlue",FALSE,-18,"PSE"
"328","JetBlue",FALSE,-24,"BQN"
"329","JetBlue",FALSE,22,"SJU"
"330","JetBlue",TRUE,172,"BUF"
"331","JetBlue",TRUE,143,"BQN"
"332","American",FALSE,-15,"MIA"
"333","JetBlue",FALSE,-13,"BQN"
"334","JetBlue",FALSE,-3,"MCO"
"335","JetBlue",FALSE,-3,"FLL"
"336","JetBlue",FALSE,-5,"PBI"
"337","JetBlue",FALSE,13,"TPA"
"338","JetBlue",TRUE,32,"RSW"
"339","JetBlue",FALSE,-16,"SJU"
"340","American",FALSE,-12,"SJU"
"341","JetBlue",FALSE,-16,"BOS"
"342","JetBlue",FALSE,-10,"BUF"
"343","American",FALSE,12,"MCO"
"344","JetBlue",FALSE,-2,"FLL"
"345","JetBlue",FALSE,-10,"LAS"
"346","JetBlue",FALSE,-37,"LAX"
"347","JetBlue",TRUE,33,"MSY"
"348","JetBlue",FALSE,-2,"SJU"
"349","American",FALSE,-3,"MIA"
"350","American",FALSE,8,"FLL"
"351","JetBlue",FALSE,24,"MCO"
"352","JetBlue",FALSE,7,"ROC"
"353","American",FALSE,-46,"LAX"
"354","JetBlue",FALSE,3,"SYR"
"355","American",FALSE,-36,"SFO"
"356","JetBlue",FALSE,-35,"SFO"
"357","JetBlue",FALSE,-4,"FLL"
"358","JetBlue",TRUE,33,"SRQ"
"359","American",FALSE,-18,"BOS"
"360","American",FALSE,-14,"STT"
"361","JetBlue",FALSE,5,"PIT"
"362","JetBlue",FALSE,-5,"ORD"
"363","JetBlue",FALSE,8,"JAX"
"364","JetBlue",FALSE,-15,"SAN"
"365","JetBlue",FALSE,9,"SJU"
"366","JetBlue",FALSE,2,"TPA"
"367","American",FALSE,-36,"LAX"
"368","American",FALSE,-20,"MIA"
"369","JetBlue",FALSE,20,"FLL"
"370","JetBlue",FALSE,-11,"IAD"
"371","JetBlue",FALSE,23,"AUS"
"372","JetBlue",FALSE,3,"MCO"
"373","JetBlue",FALSE,-3,"BTV"
"374","JetBlue",FALSE,-19,"BOS"
"375","JetBlue",TRUE,83,"CLT"
"376","JetBlue",FALSE,0,"RDU"
"377","JetBlue",FALSE,-14,"BUF"
"378","American",TRUE,56,"SJU"
"379","JetBlue",FALSE,-65,"LAX"
"380","JetBlue",TRUE,48,"PBI"
"381","JetBlue",FALSE,4,"PWM"
"382","American",FALSE,-28,"LAX"
"383","American",FALSE,-43,"SFO"
"384","JetBlue",FALSE,16,"MCO"
"385","JetBlue",FALSE,-39,"SFO"
"386","JetBlue",FALSE,23,"RSW"
"387","JetBlue",FALSE,25,"BTV"
"388","American",FALSE,-24,"LAX"
"389","JetBlue",FALSE,20,"HOU"
"390","JetBlue",TRUE,45,"FLL"
"391","JetBlue",FALSE,-52,"LAX"
"392","JetBlue",FALSE,3,"BUF"
"393","American",FALSE,-5,"MIA"
"394","American",FALSE,-7,"BOS"
"395","JetBlue",FALSE,-17,"BOS"
"396","JetBlue",FALSE,13,"PBI"
"397","JetBlue",FALSE,12,"ROC"
"398","JetBlue",TRUE,67,"TPA"
"399","JetBlue",FALSE,-31,"LGB"
"400","JetBlue",FALSE,-41,"BUR"
"401","American",FALSE,-13,"LAX"
"402","JetBlue",FALSE,-20,"PWM"
"403","JetBlue",FALSE,28,"SJU"
"404","JetBlue",FALSE,28,"MCO"
"405","JetBlue",FALSE,-10,"SEA"
"406","JetBlue",FALSE,-19,"BOS"
"407","JetBlue",FALSE,12,"SRQ"
"408","JetBlue",TRUE,79,"JAX"
"409","American",FALSE,-22,"MIA"
"410","JetBlue",FALSE,-9,"PIT"
"411","JetBlue",FALSE,-7,"BUF"
"412","JetBlue",FALSE,16,"FLL"
"413","JetBlue",FALSE,25,"PBI"
"414","American",FALSE,18,"MCO"
"415","JetBlue",TRUE,50,"TPA"
"416","American",FALSE,2,"FLL"
"417","JetBlue",FALSE,11,"MCO"
"418","JetBlue",FALSE,2,"RSW"
"419","American",FALSE,-19,"LAX"
"420","JetBlue",FALSE,-23,"ORD"
"421","JetBlue",FALSE,-4,"SJU"
"422","JetBlue",TRUE,58,"MSY"
"423","American",FALSE,0,"DFW"
"424","JetBlue",FALSE,5,"MCO"
"425","JetBlue",FALSE,18,"SYR"
"426","JetBlue",FALSE,-59,"LAX"
"427","JetBlue",FALSE,-3,"RSW"
"428","American",FALSE,-34,"BOS"
"429","JetBlue",FALSE,-47,"SAN"
"430","JetBlue",FALSE,-22,"FLL"
"431","American",FALSE,-32,"LAS"
"432","JetBlue",FALSE,-23,"SJU"
"433","American",FALSE,26,"AUS"
"434","JetBlue",FALSE,16,"PBI"
"435","JetBlue",FALSE,-1,"TPA"
"436","American",FALSE,12,"LAX"
"437","American",FALSE,-19,"MIA"
"438","American",FALSE,-30,"SAN"
"439","JetBlue",FALSE,-27,"PHX"
"440","American",FALSE,21,"ORD"
"441","JetBlue",FALSE,4,"BTV"
"442","American",TRUE,110,"SJU"
"443","JetBlue",FALSE,6,"FLL"
"444","JetBlue",FALSE,-17,"RDU"
"445","JetBlue",TRUE,81,"CLT"
"446","JetBlue",FALSE,-56,"LGB"
"447","JetBlue",FALSE,15,"BOS"
"448","JetBlue",FALSE,-24,"SJC"
"449","American",TRUE,141,"SFO"
"450","JetBlue",FALSE,-36,"BUR"
"451","American",FALSE,-13,"SEA"
"452","American",TRUE,66,"EGE"
"453","JetBlue",TRUE,55,"MCO"
"454","American",FALSE,-21,"SJU"
"455","American",FALSE,28,"SFO"
"456","JetBlue",FALSE,-45,"SMF"
"457","JetBlue",FALSE,1,"LAS"
"458","American",FALSE,-40,"LAX"
"459","JetBlue",TRUE,72,"IAD"
"460","JetBlue",TRUE,46,"MCO"
"461","JetBlue",FALSE,1,"OAK"
"462","American",FALSE,16,"TPA"
"463","JetBlue",FALSE,-57,"SFO"
"464","JetBlue",FALSE,21,"SLC"
"465","American",FALSE,-14,"BOS"
"466","JetBlue",FALSE,-17,"PDX"
"467","JetBlue",FALSE,13,"MSY"
"468","JetBlue",FALSE,30,"FLL"
"469","JetBlue",FALSE,-10,"BOS"
"470","JetBlue",FALSE,11,"JAX"
"471","JetBlue",TRUE,71,"PBI"
"472","JetBlue",TRUE,67,"AUS"
"473","JetBlue",FALSE,-32,"LAX"
"474","JetBlue",FALSE,29,"RSW"
"475","JetBlue",TRUE,45,"HOU"
"476","JetBlue",TRUE,150,"BUF"
"477","JetBlue",FALSE,-52,"LAS"
"478","American",FALSE,-52,"LAX"
"479","JetBlue",FALSE,-6,"TPA"
"480","JetBlue",FALSE,6,"SJU"
"481","JetBlue",FALSE,-5,"DEN"
"482","JetBlue",FALSE,9,"MCO"
"483","JetBlue",FALSE,-8,"FLL"
"484","JetBlue",FALSE,26,"PBI"
"485","JetBlue",FALSE,-13,"SJU"
"486","JetBlue",FALSE,-7,"BTV"
"487","JetBlue",TRUE,49,"RDU"
"488","JetBlue",FALSE,13,"PWM"
"489","JetBlue",FALSE,0,"SYR"
"490","JetBlue",FALSE,25,"ROC"
"491","JetBlue",FALSE,16,"BUF"
"492","JetBlue",FALSE,16,"BOS"
"493","JetBlue",FALSE,-11,"PSE"
"494","JetBlue",FALSE,23,"SJU"
"495","JetBlue",TRUE,125,"PWM"
"496","American",FALSE,1,"MIA"
"497","JetBlue",FALSE,-5,"PBI"
"498","JetBlue",FALSE,-8,"TPA"
"499","JetBlue",FALSE,-12,"FLL"
"500","JetBlue",FALSE,0,"MCO"
"501","JetBlue",FALSE,-5,"RSW"
"502","JetBlue",FALSE,17,"BQN"
"503","JetBlue",FALSE,-9,"SJU"
"504","American",FALSE,-16,"SJU"
"505","JetBlue",FALSE,-1,"BOS"
"506","JetBlue",FALSE,-10,"BUF"
"507","JetBlue",FALSE,-2,"MSY"
"508","American",FALSE,-4,"MCO"
"509","JetBlue",FALSE,-45,"LAS"
"510","American",FALSE,-23,"MIA"
"511","American",FALSE,-14,"FLL"
"512","JetBlue",TRUE,36,"FLL"
"513","JetBlue",FALSE,-13,"LAX"
"514","JetBlue",FALSE,18,"MCO"
"515","JetBlue",FALSE,-5,"SJU"
"516","American",FALSE,-36,"LAX"
"517","JetBlue",FALSE,4,"SYR"
"518","JetBlue",FALSE,3,"ROC"
"519","JetBlue",FALSE,-43,"SFO"
"520","JetBlue",FALSE,3,"SRQ"
"521","American",FALSE,-19,"SFO"
"522","JetBlue",FALSE,16,"FLL"
"523","American",FALSE,0,"BOS"
"524","American",FALSE,20,"STT"
"525","JetBlue",FALSE,18,"CLT"
"526","JetBlue",FALSE,-26,"SAN"
"527","JetBlue",FALSE,-5,"SJU"
"528","JetBlue",TRUE,46,"PIT"
"529","JetBlue",FALSE,25,"JAX"
"530","American",FALSE,-7,"SJU"
"531","JetBlue",FALSE,25,"ORD"
"532","American",FALSE,-10,"LAX"
"533","American",FALSE,20,"MIA"
"534","JetBlue",FALSE,-4,"IAD"
"535","JetBlue",TRUE,42,"TPA"
"536","JetBlue",FALSE,24,"FLL"
"537","JetBlue",FALSE,20,"MCO"
"538","JetBlue",FALSE,5,"BTV"
"539","JetBlue",FALSE,21,"AUS"
"540","JetBlue",FALSE,9,"BOS"
"541","JetBlue",FALSE,4,"BUF"
"542","JetBlue",FALSE,14,"PBI"
"543","JetBlue",TRUE,33,"RDU"
"544","JetBlue",FALSE,-26,"LAX"
"545","JetBlue",FALSE,9,"PWM"
"546","American",FALSE,2,"LAX"
"547","American",FALSE,-12,"SFO"
"548","JetBlue",FALSE,7,"MCO"
"549","JetBlue",FALSE,-17,"SFO"
"550","JetBlue",FALSE,-11,"BTV"
"551","JetBlue",FALSE,2,"FLL"
"552","American",FALSE,-23,"LAX"
"553","JetBlue",FALSE,2,"HOU"
"554","JetBlue",TRUE,61,"RSW"
"555","JetBlue",FALSE,-34,"LAX"
"556","JetBlue",FALSE,7,"TPA"
"557","American",FALSE,-12,"BOS"
"558","JetBlue",FALSE,-4,"PBI"
"559","JetBlue",FALSE,-7,"BOS"
"560","JetBlue",FALSE,-39,"LGB"
"561","JetBlue",FALSE,24,"ROC"
"562","JetBlue",TRUE,65,"BUF"
"563","JetBlue",FALSE,-35,"BUR"
"564","American",FALSE,-33,"LAX"
"565","American",TRUE,66,"MIA"
"566","JetBlue",FALSE,21,"JAX"
"567","JetBlue",FALSE,22,"MCO"
"568","JetBlue",TRUE,35,"SJU"
"569","JetBlue",FALSE,13,"SEA"
"570","JetBlue",FALSE,26,"PWM"
"571","American",FALSE,12,"MCO"
"572","JetBlue",FALSE,4,"SRQ"
"573","JetBlue",FALSE,3,"FLL"
"574","JetBlue",FALSE,-26,"PIT"
"575","JetBlue",TRUE,36,"BOS"
"576","JetBlue",FALSE,13,"PBI"
"577","JetBlue",FALSE,5,"BUF"
"578","JetBlue",FALSE,14,"TPA"
"579","American",FALSE,3,"MIA"
"580","American",FALSE,20,"FLL"
"581","JetBlue",FALSE,-11,"RSW"
"582","JetBlue",TRUE,32,"MCO"
"583","American",FALSE,10,"SJU"
"584","JetBlue",FALSE,-6,"SYR"
"585","JetBlue",FALSE,20,"ORD"
"586","American",FALSE,15,"SFO"
"587","American",FALSE,3,"DFW"
"588","JetBlue",FALSE,-52,"LAX"
"589","American",FALSE,-36,"LAX"
"590","American",FALSE,-32,"BOS"
"591","JetBlue",FALSE,-41,"SAN"
"592","JetBlue",FALSE,28,"MCO"
"593","JetBlue",TRUE,98,"MSY"
"594","American",FALSE,-34,"LAS"
"595","American",TRUE,51,"LAX"
"596","American",FALSE,-8,"AUS"
"597","JetBlue",FALSE,20,"PBI"
"598","JetBlue",FALSE,16,"RSW"
"599","JetBlue",FALSE,-8,"SJU"
"600","American",FALSE,-26,"ORD"
"601","JetBlue",FALSE,2,"FLL"
"602","JetBlue",TRUE,83,"SJU"
"603","JetBlue",FALSE,-17,"BTV"
"604","JetBlue",FALSE,2,"TPA"
"605","American",FALSE,-12,"MIA"
"606","American",FALSE,-15,"SAN"
"607","JetBlue",TRUE,45,"CLT"
"608","JetBlue",FALSE,5,"IAD"
"609","JetBlue",FALSE,-21,"BOS"
"610","JetBlue",FALSE,7,"FLL"
"611","JetBlue",FALSE,-4,"MCO"
"612","JetBlue",FALSE,-50,"LGB"
"613","JetBlue",FALSE,-28,"SJC"
"614","JetBlue",FALSE,1,"RDU"
"615","American",FALSE,-17,"SEA"
"616","American",FALSE,-4,"SJU"
"617","JetBlue",FALSE,-24,"BUR"
"618","JetBlue",FALSE,-27,"LAS"
"619","JetBlue",FALSE,-18,"SMF"
"620","JetBlue",FALSE,-9,"MCO"
"621","American",TRUE,105,"EGE"
"622","JetBlue",FALSE,-40,"SFO"
"623","American",FALSE,1,"LAX"
"624","JetBlue",FALSE,13,"PBI"
"625","American",FALSE,10,"TPA"
"626","JetBlue",TRUE,64,"BUF"
"627","JetBlue",TRUE,47,"OAK"
"628","American",TRUE,97,"SFO"
"629","JetBlue",FALSE,5,"AUS"
"630","JetBlue",FALSE,-10,"MSY"
"631","JetBlue",FALSE,8,"FLL"
"632","JetBlue",FALSE,-8,"HOU"
"633","JetBlue",FALSE,9,"PDX"
"634","JetBlue",FALSE,-17,"LAX"
"635","JetBlue",FALSE,-13,"RSW"
"636","JetBlue",FALSE,-9,"JAX"
"637","JetBlue",TRUE,55,"SLC"
"638","JetBlue",TRUE,172,"PHX"
"639","JetBlue",FALSE,-8,"BOS"
"640","JetBlue",FALSE,-14,"DEN"
"641","American",FALSE,-45,"LAX"
"642","JetBlue",FALSE,-18,"SJU"
"643","JetBlue",FALSE,-9,"TPA"
"644","JetBlue",FALSE,-25,"RDU"
"645","JetBlue",FALSE,-9,"MCO"
"646","JetBlue",FALSE,-14,"FLL"
"647","American",TRUE,101,"BOS"
"648","JetBlue",FALSE,14,"LAS"
"649","JetBlue",FALSE,-18,"SJU"
